Description,No,Barcode,Serial Number,Status,Second,Cost
CLEAN BENCH MF: HITACHI-PRICE EST,5,1008726,G76491901,ACTIVE,Current,8000.0
CLEAN BENCH MF: NK SYSTEM MODEL: MB-1301-PRI,6,1008532,1209391-DL09165B,ACTIVE,Current,8000.0
CLINICAL WING LAB BLOCK,3,1008776,,ACTIVE,Current,10985000.0
CLOCK SAMAY QUARTZ-PRICE EST,3,1008180,,ACTIVE,Current,1000.0
CLOCK-PRICE EST,4,1008159,,ACTIVE,Current,1000.0
CO2 INCUBATOR MF: HERAEUS MD:B5060EK/CO2,8,1008712,50001547,ACTIVE,Current,24147.0
CO2 INCUBATOR MF: PANASONIC MODEL: MCO-18,9,1008528,12080218,ACTIVE,Current,24147.0
COBAS AMPLIPREP - ROCHE,11,1008244,393241-PREX,ACTIVE,,
COBAS TAQMAN ROCHE,12,1008245,391971-TAQ,ACTIVE,,
COFFEE TABLE,2,1008161,,ACTIVE,Current,12000.0
COMPAQ EVO MODEL: D310,1,1008514,,ACTIVE,Current,15000.0
CONFERENCE CHAIR-PRICE EST,152,1008139,,ACTIVE,Acquired,9000.0
CONFERENCE TABLE-PRICE EST,3,1008138,,ACTIVE,Current,15000.0
DEEP FREEZER(-85C) MF:SANYO MD:MDF-192AT,2,1008713,70908245,ACTIVE,Current,42834.0
DELL COMPUTER 755 MODEL: DC8M,2,1008505,J8LVHBX,ACTIVE,Current,60000.0
DELL CPU,3,1007900,C1TD8R1,ACTIVE,Acquired,60000.0
DELL CPU OPTIPLEX 390,13,1008213,6BLC8R1,ACTIVE,Acquired,60000.0
DELL CPU SN:7KJLT2J?,16,1008585,,ACTIVE,Acquired,60000.0
DELL DIMENSION 2400 MODEL: MTC2,17,1008298,314FK5I,ACTIVE,Current,15000.0
DELL KEYBOARD,1,1008686,,ACTIVE,Acquired,2000.0
DELL KEYBOARD MODEL: E134780,17,1008397,,ACTIVE,Acquired,2000.0
DELL KEYBOARD MODEL: E91912HC,18,1008389,,ACTIVE,Acquired,2000.0
DELL KEYBOARD MODEL: K212B,19,1008329,,ACTIVE,Acquired,2000.0
DELL KEYBOARD MODEL: KB 212B,20,1008275,,ACTIVE,Acquired,2000.0
DELL KEYBOARD MODEL: KB1421,21,1008413,,ACTIVE,Acquired,2000.0
DELL KEYBOARD MODEL: KB212-B,25,1008317,CN-OHWRDI-71581-225-047,ACTIVE,Acquired,2000.0
DELL KEYBOARD MODEL: KB212B,26,1008321,CN-0HWR01-71581-22T-00JY,ACTIVE,Acquired,2000.0
DELL MONITOR,7,1007916,CN-0GU625-72872-6CQ-0T7,ACTIVE,Current,9000.0
DELL MONITOR MODEL: EI98WFPF,24,1008506,72872-84G-50FS,ACTIVE,Current,9000.0
DELL MOUSE,1,1008480,,ACTIVE,Current,500.0
DELL MOUSE MODEL: DPN-XN988,8,1008442,,ACTIVE,Current,200.0
DELL MOUSE MODEL: DPN-YN988,9,1008508,,ACTIVE,Current,200.0
DELL MOUSE MODEL: M-UVOELI,10,1008489,,ACTIVE,Current,200.0
DELL MOUSE MODEL: MO71JC,11,1008393,,ACTIVE,Current,200.0
DELL MOUSE MODEL: MOC2540,12,1008477,,ACTIVE,Current,200.0
DELL MOUSE MODEL: MOC540,14,1008485,,ACTIVE,Current,200.0
DELL MOUSE MODEL: MS111-P,16,1008429,,ACTIVE,Current,200.0
DELL MOUSE MODEL:MS111-P,42,1008398,,ACTIVE,Current,200.0
DELL OPTIPLEX 380,19,1008300,GLSS35J,ACTIVE,Acquired,60000.0
DELL OPTIPLEX 380 MODEL: DCCYIF,20,1008516,IJSS35J,ACTIVE,Acquired,60000.0
DELL OPTIPLEX 390 MODEL: D12M,22,1008268,DKHH8R1,ACTIVE,Acquired,60000.0
DELL OPTIPLEX 390 MODEL: D12M SN:J5SK8R1?,38,1008283,,ACTIVE,Acquired,60000.0
DELL OPTIPLEX 390 MODEL: DC2M SN: CYPH8R1?,39,1008278,,ACTIVE,Acquired,60000.0
DELL OPTIPLEX 390 MODEL:D12M,40,1008284,FYMBH8RI,ACTIVE,Acquired,60000.0
DELL OPTIPLEX 745,44,1008527,6FJLT25,ACTIVE,Acquired,60000.0
DELL OPTIPLEX 745 MODEL(DCSM),46,1008511,7KLT2J,ACTIVE,Acquired,60000.0
DELL OPTIPLEX 755 MODEL: DC6M,47,1008475,HNLVHBX,ACTIVE,Acquired,60000.0
DELL OPTIPLEX 755 MODEL: DC6M SN:HNLVHBX?,48,1008497,,ACTIVE,Acquired,60000.0
DELL OPTIPLEX 760,49,1008512,,ACTIVE,Acquired,60000.0
DELL OPTIPLEX 760 MODEL: DCSM,52,1008526,8B74D4J,ACTIVE,Acquired,60000.0
DELL OPTIPLEX 760 MODEL: DCSM SN:JV94D4J?,53,1008517,,ACTIVE,Acquired,60000.0
DIGITAL BLOOD PRESSURE MACHINE OMRON,2,1008226,20090504084LF,ACTIVE,Current,95000.0
DIRECTOR'S/RESEARCH'S AND ICT OFFICE BLOCK,4,1008777,,ACTIVE,Current,8580000.0
DISTILLER MF:HAMILTON MODEL: AWC/4DRS/25,13,1008549,2020A,ACTIVE,,
DO'S HOUSE,2,1008788,,ACTIVE,Current,7540000.0
EATON MODEL: EX3000RT,14,1008459,AQ3N3709R,ACTIVE,,
ELECTRIC BALANCE MF:SHIMADZU MD:AUY220,16,1008718,D449801134,ACTIVE,,
ELECTRONIC CALCULATOR - CASIO DR-T140-PRICE,6,1007906,KE014808,ACTIVE,Current,1500.0
ELEKTA FAN MODEL: EFNS-1688R-MK11,7,1008354,SFD861-EFNS1688R-11701190,ACTIVE,Current,5000.0
ELISA MICROPLATE READER D: STAT FAX-3200-PRICE,17,1008738,3200-1739,ACTIVE,Current,305140.0
ELISA PLATE WASHER MD: STAT FAX-2600,18,1008737,2600-4015,ACTIVE,,
EPPENDORF CENTRIFUGE MF: EPPENDORF MODEL: 5,19,1008546,5407B1633536,ACTIVE,,
EPSON DOT MATRIX PRINTER MODEL: LX-200X11,1,1008503,G8G7736411,ACTIVE,Current,10000.0
EXAMINATION BED-PRICE EST,1,1008238,,ACTIVE,Current,10209.76
EXECUTIVE CHAIR-PRICE EST,164,1008151,,ACTIVE,Current,25000.0
FAN MODEL: ELEKTA,8,1008187,,ACTIVE,Current,5000.0
FLOW CYTOMETER(FACS CALIBUR) MF:DB,20,1008247,E97501423,ACTIVE,,
FORMER STAFF CANTEEN,3,1008789,,ACTIVE,Current,23985000.0
FREEZER -30C MF: PANASONIC MODEL: MDF-436-PE,3,1008538,12060037,ACTIVE,Current,19444.0
FREEZER -30C MF:SANYO MD: MDF-236,4,1008714,50506756,ACTIVE,Current,19444.0
FREEZER LASEC SA MODEL:27/CFS/344,5,1008239,20084527412,ACTIVE,,
FREEZER ULTRALOW MF: SANYO MODEL: MDF-U4186,7,1008539,11010003,ACTIVE,Current,568593.0
FREEZER/FRIDGE MF: SHARP MODEL: SJ-K425-SL,8,1008540,D120806653,ACTIVE,Current,23587.0
FULL AUTOMATIC FAN,9,1007960,,ACTIVE,Current,5000.0
GATE HOUSE,5,1008779,,ACTIVE,Current,260000.0
GENERATOR ROOM,6,1008775,,ACTIVE,Current,1313000.0
HEATED INCUBATOR MF: PANASONIC MODEL: MIR-2,21,1008530,12040002,ACTIVE,Current,65000.0
HIGH GRADE RESIDENTIAL UNITS,4,1008785,,ACTIVE,Current,31200000.0
HIV-R CLINIC BUILDING,7,1008794,,ACTIVE,Current,41800000.0
HONDA GENERATOR EM45005,10,1008634,ELK008,ACTIVE,Current,48026.0
HOT AIR OVEN MF: MEMMENT,23,1008581,40050-IP20,ACTIVE,Current,14923.0
HOT AIR OVEN MG:JENCOMS MD: N735F,24,1008710,YOD119,ACTIVE,Current,14923.0
HOT PLATE/MIXER MD: STUART,25,1008561,R630000606,ACTIVE,Current,60000.0
HP COLOR LASERJET PRINTER MODEL: CP1515N,2,1008262,,ACTIVE,Current,44004.0
HP COMPAQ 8100 ELITE CMT PC,54,1008518,CZC040FDD4,ACTIVE,Acquired,60000.0
HP COMPAQ AMPILUK 3.3 DC 7600 CMT IMAGE 1.1,57,1008521,CZC6241S8S,ACTIVE,Acquired,60000.0
HP COMPAQ COMPUTER MF:HP,58,1008250,CZ0065N55,ACTIVE,Acquired,60000.0
HP COMPAQ DESKTOP MODEL: LE1711,59,1008522,3CQ036C3NW,ACTIVE,Acquired,60000.0
HP KEYBOARD MODEL: KB-0316,54,1008462,EI64844,ACTIVE,Current,2000.0
HP KEYBOARD MODEL: KB-0316 E164844,55,1008446,,ACTIVE,Current,2000.0
HP KEYBOARD MODEL: PR110IU,56,1008425,R41108,ACTIVE,Current,2000.0
HP LASERJET 2300DN-CO00599,3,1008709,CNCFL09974,ACTIVE,Current,7865.0
HP LASERJET MODEL: 3055,4,1008431,Q6503A,ACTIVE,Current,7865.0
HP LASERJET P1005 PRINTER,5,1008590,VNC5J75477,ACTIVE,Current,7865.0
HP LASERJET PRINTER 1020 MODEL: Q5911Z,6,1008410,CNCJ431104,ACTIVE,Current,7865.0
HP LASERJET PRINTER MODEL: CP151N,7,1008256,,ACTIVE,Current,7865.0
HP LASERJET PRINTER MODEL: P2055D,8,1008402,VMC3B63503,ACTIVE,Current,7865.0
HP LASERJET PRINTER MODEL:P1505,10,1008252,CNCK193368,ACTIVE,Current,7865.0
HP LASERJET PRINTER P1006 MODEL: BIOISB-060500,11,1008482,VNF3B16735,ACTIVE,Current,7865.0
HP LASERJET PRINTER P1006 SN:VNF3B16735?,12,1008504,,ACTIVE,Current,7865.0
HP LASERJET PRINTER P2055D,13,1007958,VNC3F67757,ACTIVE,Current,7865.0
HP LASERJET PRINTER P2055D MODEL: BIOS-0801-00,14,1008416,VNC3B63493,ACTIVE,Current,7865.0
HP MOUSE MODEL: MOAFK01,43,1008447,,ACTIVE,Current,200.0
HP MOUSE MODEL: MOAFKOA,44,1008454,,ACTIVE,Current,200.0
HP MOUSE MODEL: R41108,46,1008451,,ACTIVE,Current,200.0
HP MOUSE MODEL: UAE96,47,1008426,,ACTIVE,Current,200.0
HP PRINTER MODEL: P2055D,15,1008491,VNC3F66611,ACTIVE,Current,25000.0
HP PRO MODEL: VW300EA#B13,1,1008515,C2C0065H55,ACTIVE,Current,40000.0
HP PROBOOK LAPTOP MODEL: 4330S,2,1008492,CNU2261MCZ,ACTIVE,Current,40000.0
HP PROLIANT DL389 G7,60,1008470,,ACTIVE,Current,500000.0
HP PROLIANT SERVER MODEL: DL389-G4,61,1008469,,ACTIVE,Current,500000.0
HP SCANJET G2710 MODEL: FCLSD-0512,16,1008432,CNO-18A50-JO,ACTIVE,Scrap value,2860.0
HP SCANJET N6310,17,1008708,CN1BYDF0FM,ACTIVE,Scrap value,2860.0
HP TFT LE1711 MONITOR MODEL: HSTND-276-F,63,1008452,3CQ036C3NP,ACTIVE,Current,9000.0
HP TFT MONITOR LE1711 MODEL: HSTND-2761-F,64,1008449,3CP036C3QC,ACTIVE,Current,9000.0
HP TFT MONITOR MODEL:LE1711,65,1008461,3CQO36C3N,ACTIVE,Current,9000.0
IBM KEYBOARD MODEL: KB-9910,57,1008422,0037483,ACTIVE,Acquired,2000.0
ICE MAKER MF:SCOTSMAN MODEL: AF103AS2315011,26,1008537,DL-1393-12W,ACTIVE,,
"IDRL LAB, VCT & TRC LAB SUPPLIES BLOCK",8,1008778,,ACTIVE,Current,6175000.0
INCUBATOR MF: GRIFFIN & GEORGE MD: GRIFFIN 1/,27,1008732,33/4951A,ACTIVE,,
INTERMEDIATE RESIDENTIAL HOUSES,5,1008782,,ACTIVE,Current,52130000.0
INVERTED MICROSCOPE MF: NIKON MODEL: ECLIPS,1,1008543,602864,ACTIVE,Current,8000.0
JUNIOR STAFF QUARTERS,6,1008783,,ACTIVE,Current,35100000.0
KEYBOARD MODEL: KB-0316,58,1008457,,ACTIVE,Current,2000.0
KYOCERA PRINTER FS-1920,18,1008411,GPK-4516839,ACTIVE,Current,25000.0
"LAMP MACHINE CONTROL UNIT MF: EIKEN, MODEL:",29,1008553,E105192,ACTIVE,,
LASERJET PRINTER 1200 MODEL RT7DC,19,1008495,ANCHC41,ACTIVE,Current,25000.0
LASERJET PRINTER 2100 MODEL: CH17OA,20,1008494,FRGTO76406,ACTIVE,Current,25000.0
LASERJET PRINTER P1505 MODEL: BIOSB-0604-00,21,1008458,,ACTIVE,Current,25000.0
LASERJET PRINTER P2055D MODEL: BIOSSB-0801-00,22,1008496,,ACTIVE,Current,25000.0
LAWN MOVER R484,3,1008637,8782199,ACTIVE,Current,25000.0
LCD PROJECTOR,48,1008433,,ACTIVE,Current,35000.0
LG FRIDGE,9,1008163,4031NXJ3Z-826,ACTIVE,Current,32000.0
LOOPAMP(REALTIME TURBIMETER) MF:EIKEN MODEL:,30,1008554,EA150412,ACTIVE,,
MAC DESKTOP WITH MULTISYNCS EA 191 MONITOR,62,1008255,CK0040444PD,ACTIVE,Current,9000.0
MAGNETIC STIRRER MD:IKA-COLOR SQUID,31,1008559,I766032,ACTIVE,,
MAGNETIC STIRRER MF: STUART MD: CB161,32,1008735,R000101195,ACTIVE,,
MAIN STORE,9,1008780,,ACTIVE,Current,8489000.0
MERCURY UPS,14,1008448,,ACTIVE,Current,5000.0
METALLIC BOOKSHELF-PRICE EST,5,1008067,,ACTIVE,Current,10000.0
METALLIC CABINET-PRICE EST,7,1007915,,ACTIVE,Current,25000.0
METALLIC CHAIR,174,1008593,,ACTIVE,Current,5000.0
METALLIC STOOL,15,1008660,,ACTIVE,Current,2000.0
MICROPLATE WASHER MF: THERMOFISCHER SCIENTI,33,1008545,888-684A,ACTIVE,Current,600000.0
MICROSCOPE CAMERA MF: NIKON MD:D5100,3,1008557,2170863,ACTIVE,,
MICROSCOPE MF:KRUSS OPTRONIC GERMANY MD:,5,1008724,1120017108,ACTIVE,,
MICROSCOPE MF:OLYMPUS MD: CK OLYMPUS,6,1008558,206197,ACTIVE,,
MILLIPORE Q-POD MF: MILLIPORE,34,1008551,F2MA5721B,ACTIVE,Current,11081.84
MILLQ MF: MILLIPORE,35,1008550,F2MA52832B,ACTIVE,Current,1011896.0
MINIPOWER CONTROL,11,1008638,260301,ACTIVE,,
MIXER OHAUS/PIONEER PA214,36,1008266,B403223780,ACTIVE,,
MONITOR MODEL: EA191MBK,66,1008260,99345183TB,ACTIVE,Current,9000.0
MOUSE MODEL: NBRBP-02,49,1008456,,ACTIVE,Current,200.0
MULTISCKAN ELISA READER MF:THERMOSCIENTIFICM,37,1008555,3550004678,ACTIVE,,
NISSAN GENERATOR GG1800,12,1008635,1005627,ACTIVE,Current,50000.0
OFFICE CHAIR,176,1008592,,ACTIVE,Acquired,9000.0
OFFICE TABLE,4,1008155,,ACTIVE,Current,12000.0
OLYMPUS MICROSCOPE MD: CX-21,7,1008725,IF80536,ACTIVE,Current,10000.0
OLYMPUS MICROSCOPE208829,8,1008583,,ACTIVE,Current,10000.0
PATIENT COUCH,34,1008693,,ACTIVE,Current,9000.0
PH METER MF:BECKMAN COULTER MD: PHI510,38,1008556,101250009,ACTIVE,Current,12000.0
PHILIPS MONITOR,68,1008251,HPLE190W,ACTIVE,Current,9000.0
PHOTOCOPYING MACHINE - XEROX,1,1008162,3968734880,ACTIVE,Current,459000.0
PIMA CD4 COUNTER MF: INVERNESS MEDICAL,39,1008246,PIMA-D-000171,ACTIVE,,
PIPETTE - PIPETMUN NEO,40,1008258,Y536022,ACTIVE,Current,5000.0
PIPETTE MF: PIPETMUN NEO,41,1008257,CG59236,ACTIVE,Current,5000.0
PLASTIC CHAIR,199,1008107,,ACTIVE,Current,1000.0
PLASTIC SEAT,239,1007970,,ACTIVE,Current,9000.0
PRINTER HP LASERJET P2055D MODEL: BIOSB-0801-00,23,1008383,VNC3B63503,ACTIVE,Current,7865.0
PROJECTOR MODEL: VPL-EX100,50,1008493,SO1-5180353-B,ACTIVE,Current,35000.0
PUMP HOUSE,7,1008791,,ACTIVE,Current,689000.0
PUMP HOUSE CARETAKER'S HOUSE,8,1008790,,ACTIVE,Current,650000.0
RACAL SERVER CABINET,63,1008474,CZ310795A4,ACTIVE,,
RAMTONS FAN,13,1008160,,ACTIVE,Current,5000.0
REFRIGERATED CENTRIFUGE MF:TOMY MODEL: AX-3,44,1008541,4839008,ACTIVE,Current,16711.2
REFRIGERATOR - SANYO,10,1008534,,ACTIVE,Current,32000.0
REFRIGERATOR LASEC SA MODEL: FKG371,11,1008240,20084117395,ACTIVE,Current,32000.0
REFRIGERATOR MF: LG,13,1008720,209KR00015,ACTIVE,Current,32000.0
REFRIGERATOR MF: SANYO MD: SR-F48EKWFGS,14,1008729,30600016,ACTIVE,Current,32000.0
REFRIGERATOR MF:SANYO,15,1008719,30600015,ACTIVE,Current,32000.0
RESIDENTIAL HOUSES,9,1008787,,ACTIVE,Current,14300000.0
SAFETY CABINET MF: NK SYSTEM MODEL: VH-1300BH-,18,1008533,1209401-DL12052,ACTIVE,,
SANYO FRIDGE,16,1008674,08033000812,ACTIVE,Current,32000.0
SANYO TELEVISION,14,1008435,,ACTIVE,Current,10000.0
SANYO ULTRA LOW FREEZER MODEL: MDF-U7386S,17,1008267,11070058,ACTIVE,Current,23094.0
SICK BED,4,1008605,,ACTIVE,Current,10000.0
SICK WHEEL CHAIR,241,1008606,,ACTIVE,Acquired,9000.0
SMART ONLINE TRIPLE LITE UPS MODEL: BP240V10RT3,15,1008472,,ACTIVE,Current,57000.0
SMART UPS 2200 MODEL: APC-EST AMAZON,16,1008471,994BYOBP760700020,ACTIVE,Current,57000.0
SMS PRINTER,24,1008253,TJ0320,ACTIVE,,
SMS PRINTER MODEM,25,1008254,TJ0376,ACTIVE,,
SOFASET (5 PIECES),35,1008154,,ACTIVE,Current,20000.0
SONY MOUSE,51,1008423,,ACTIVE,Current,200.0
STANDBY GENERATOR OLYMPIAN MODEL: GEP50-7,15,1008355,244686459100067,ACTIVE,Current,50000.0
STEREO MICROSCOPE MF:NIKON MODEL: C-DSS230,9,1008542,3013426,ACTIVE,Current,482993.28
STOOL,36,1008595,,ACTIVE,Current,1500.0
STUDY TABLE,20,1008110,,ACTIVE,Current,12000.0
TABLE,26,1008103,,ACTIVE,Current,12000.0
TABLETOP CENTRIFUGE,59,1008580,1601032,ACTIVE,Current,12000.0
THERMOCYCLER(96 WELL) MF: APPL BIOSYSTEMS,45,1008547,2990217778,ACTIVE,Current,83904.0
THERMOMIXER COMPACT EPPENDORF,46,1008242,5350YH83959,ACTIVE,,
THERMOMIXER MF: EPPENDORF MD: AG5350,48,1008560,BN037428,ACTIVE,,
TRYPANSOSOMIASIS RESEARCH BLOCK,10,1008781,,ACTIVE,Current,12051000.0
UPS APC,17,1008430,,ACTIVE,Acquired,5000.0
UPS APC 650,19,1008420,10C00RRP,ACTIVE,Acquired,5000.0
UPS APC 650 220-240V 50-60HZ 400W,27,1008509,,ACTIVE,Acquired,5000.0
UPS APC 650V 220-240V 30A 50-60HZ 400W,28,1008443,BI2011031538,ACTIVE,Acquired,5000.0
UPS APC MODE: BX650CI-AF,29,1008304,BI20401201077,ACTIVE,Acquired,5000.0
UPS APC MODEL BX650CI-AP,30,1008345,BI204012180,ACTIVE,Acquired,5000.0
UPS APC MODEL: BK65DEI,31,1008391,4B1049016244,ACTIVE,Acquired,5000.0
UPS APC MODEL: BX650C1-AF,32,1008311,BI2040120122,ACTIVE,Acquired,5000.0
UPS APC MODEL: BX650CI-A,33,1008353,5B150T11288,ACTIVE,Acquired,5000.0
UPS APC MODEL: BX650CI-AF,34,1008331,5B1148T0902,ACTIVE,Acquired,5000.0
UPS APC MODEL: BX650CI-AF SN:5B1150T11169?,41,1008319,,ACTIVE,Acquired,5000.0
UPS APC MODEL: BX650CI-AP,42,1008314,581150T10975,ACTIVE,Acquired,5000.0
UPS APC MODEL: BX650CIL-AF,46,1008362,LSBII481908912,ACTIVE,Acquired,5000.0
UPS APC MODEL: M-UVDELI,47,1008409,,ACTIVE,Acquired,5000.0
UPS APC MODEL:BX650CI-AF,48,1008382,5B1148TO8944,ACTIVE,Acquired,5000.0
UPS MODEL: 650VA-220-240,49,1008370,220-S40V-2.2A.50-60112,ACTIVE,Acquired,5000.0
UPS MODEL: MGE(600),50,1008464,,ACTIVE,Acquired,5000.0
VIDEO CASSETTE SANYO MODEL: 24401483,5,1008434,,ACTIVE,Current,1500.0
VISITOR TABLE,60,1008122,,ACTIVE,Current,12000.0
VORTEX TUBE MIXER MF: STUART,50,1008736,R000100995,ACTIVE,Scrap value,2842.64
WAITING COUCH,38,1008117,,ACTIVE,Current,12000.0
WATER BATH MF:MERMERT MODEL:W350,53,1008722,830-728,ACTIVE,Current,319000.0
WATER DISTILLER/DEIONIZER MF:SIBATA,55,1008721,A6/6/518,ACTIVE,Current,97352.0
WATER TREATMENT HOUSE,10,1008784,,ACTIVE,Current,4550000.0
WEIGHING BALANCE MF: SARTORIUS MD: TYPE 140M,56,1008733,3401038,ACTIVE,Current,9593.0
WEIGHING BALANCE MF:PIONEER MODEL: PA512C,57,1008552,B241407320,ACTIVE,Current,9593.0
WEIGHING MACHINE ADE,6,1008221,02081096,ACTIVE,Current,1584.0
WOODEN BOOKSHELF,9,1008071,,ACTIVE,Current,8500.0
WOODEN CABINET,19,1008173,,ACTIVE,Current,15000.0
WOODEN CABINET FILE SHELF,21,1007965,,ACTIVE,Current,15000.0
WOODEN CHAIR,242,1008672,,ACTIVE,Current,5000.0
WOODEN DRAWER,40,1008116,,ACTIVE,Current,5000.0
WOODEN STOOL,41,1008264,,ACTIVE,Current,1500.0
WORK STATION,47,1007930,,ACTIVE,Current,12000.0
WORKING STATION(MACKINTOSH),48,1008261,,ACTIVE,Current,12000.0
YAMAHA GENERATOR,16,1008636,2004100,ACTIVE,Current,50000.0
