Description,No,Barcode,Serial Number,Status,Second,Cost
ADVANTEC IMMERSION CIRCULATOR/HOT WATER B,29,1002915,258799,ACTIVE,Current,56770.56
AEROSOL GENERATOR MODEL: TDA-6C-OM02482,11,1000409,20522,ACTIVE,Current,19492.0
AEROSOL PHOTOMETER MODEL: 2H,12,1000410,20470,,ACTIVE,0.0
AIR COMPRESSOR N4030,13,1000741,,,ACTIVE,0.0
AIR FAN-OM02466,14,1003631,,ACTIVE,Current,11088.0
AIR INCUBATOR BE500 MEMMEST-OM00358,2,1004424,R500-0144,ACTIVE,Current,57891.0
ALARM CONTROL PANEL,1,1001596,,,ACTIVE,0.0
ALCATEL OFFFICE TELEPHONE,1,1001280,,ACTIVE,Acquired,6000.0
ALCATEL OFFICE PHONE,2,1000055,,ACTIVE,Acquired,6000.0
ALCATEL OFFICE PHONE CM594,6,1000016,,ACTIVE,Acquired,6000.0
ALCATEL OFFICE TELEPHONE,7,1001274,3AK270,ACTIVE,Acquired,6000.0
ALCATEL OFFICE TELEPHONE 420,3,1004965,,ACTIVE,Acquired,6000.0
ALCATEL PHONE,25,1001580,013704742,ACTIVE,Acquired,6000.0
ALCATEL PHONE (FIRST REFLEXES),33,1000762,,ACTIVE,Acquired,6000.0
ALCATEL PHONE 0164,34,1001800,,ACTIVE,Acquired,6000.0
ALCATEL PHONE 4004,35,1004036,,ACTIVE,Acquired,6000.0
ALCATEL PHONE 4020,38,1004044,,ACTIVE,Acquired,6000.0
ALCATEL PHONE 5363,39,1003953,,ACTIVE,Acquired,6000.0
ALCATEL PHONE CN594,40,1003989,,ACTIVE,Acquired,6000.0
ALCATEL PHONE(FIRST REFLEXES),42,1000736,,ACTIVE,Acquired,6000.0
ALCATEL PHONES,43,1002679,,ACTIVE,Acquired,6000.0
ALCATEL TELEPHONE,44,1002700,DR-120LB,ACTIVE,Acquired,6000.0
ALCATEL TELEPHONE 4020,97,1004015,,ACTIVE,Acquired,6000.0
ALCATEL TELEPHONE 410,98,1002188,,ACTIVE,Acquired,6000.0
ALCATEL TELEPHONE 420,99,1001773,,ACTIVE,Acquired,6000.0
ALCATEL TELEPHONE 421,100,1001775,,ACTIVE,Acquired,6000.0
ALCATEL TELEPHONE 594,101,1001817,,ACTIVE,Acquired,6000.0
ALCATEL TELEPHONE 6027,103,1005811,,ACTIVE,Acquired,6000.0
ALCATEL TELEPHONE EASY REFLEXES,12,1006658,,ACTIVE,Acquired,6000.0
ALCATEL TELEPHONE FIRST RELEASE,104,1000306,N594,ACTIVE,Acquired,6000.0
ALCATEL TELEPHONE MODEL GEX,105,1003194,,OBSOLETE,Acquired,6000.0
ALCATEL TELEPHONE N594,106,1002285,,ACTIVE,Acquired,6000.0
ALCATEL TELPHONE,14,1005587,,ACTIVE,Acquired,6000.0
ALUMINIUM LADDER-PRICE ESTIMATE,3,1000427,,ACTIVE,Current,6000.0
ALVATEC(AUTOMIC FILM PROCESSOR) MODEL:AX30,34,1000208,3913615,ACTIVE,0.00,
AMPLIFIER MODEL 1-1121-OM02490,1,1004817,11525273,ACTIVE,Current,20710.0
ANALYTICAL BALANCE,35,1002427,1114512429,NOT WORKING,Current,75532.0
ANALYTICAL BALANCE SRC:GERMANY MODEL:KERN,3,1005035,WC-0711054,ACTIVE,Current,63866.88
ANALYTICAL BALANCE SRC:GERMANY MODEL:SATO,4,1005034,CP 124S,ACTIVE,Current,11724.9
ANENOMETER MODEL: 6141,15,1000415,563604,,ACTIVE,0.0
ANIMAL HOUSE II,2,1006790,,ACTIVE,Current,12968400.0
ANVIL-PRICE ESTIMATE,2,1000037,,ACTIVE,Current,4000.0
AP CAMP OFFICE BUILDING,2,1008786,,ACTIVE,Current,5330000.0
APC UPS,1,1006864,5B1150T10958,ACTIVE,Acquired,5000.0
APPLE CPU,3,1003764,97QXC1J,ACTIVE,Current,130347.36
APPLE KEYBOARD,2,1002245,,ACTIVE,Current,1000.0
APPLE MONITOR-PRICE ESTIMATE,2,1003763,H01270096247,ACTIVE,Current,60000.0
APS 320-PRICE ESTIMATE,3,1000918,24559114,ACTIVE,Current,5000.0
ARCH WELDING MACHINE-OM00569,4,1000341,F303013081,ACTIVE,Current,10615.0
ARM CHAIR,1,1008572,,ACTIVE,Acquired,10000.0
AUTO CHEMISTRY ANALYSER(INLAB 300),38,1000150,300K001,ACTIVE,Current,16000000.0
AUTO CLAVE MODEL: TF-31-OM01677,1,1001266,,ACTIVE,Current,238939.0
AUTO CLAVE STERILIZER GAS CYLINDER,2,1001269,,ACTIVE,Current,220000.0
AUTO CLAVE-PRICE ESTIMATE,5,1001854,801809,ACTIVE,Current,160000.0
AUTOCLAVE,1,1008717,YXRS441.280,ACTIVE,Current,160000.0
AUTOCLAVE (STULTNAUER) MODEL 2540E-OM00550,4,1002689,9603632,ACTIVE,Current,969128.0
AUTOCLAVE 3028 VARIO 3028(DIXONS SURGICAL IN,5,1002826,DSF 8 R,,ACTIVE,0.0
AUTOCLAVE ACCU STERILIZER AS12-OM02251,1,1004369,,ACTIVE,Current,22528.0
AUTOCLAVE ASTELL-OM02386,2,1004326,CLN51565,ACTIVE,Current,295460.0
AUTOCLAVE I - PANASONIC MODEL: MLS-3020U-PE,2,1008535,PE270007,ACTIVE,Current,160000.0
AUTOCLAVE II MF:PANASONIC MODEL: MLS-3020U-,3,1008536,PE270009,ACTIVE,Current,160000.0
AUTOCLAVE MACHINE MODEL: TR100,6,1006404,05069046,ACTIVE,Current,1300000.0
AUTOCLAVE MC-3OLD(ALP CO JAPAN)-OM02337,7,1002881,801808,ACTIVE,Current,345502.08
AUTOCLAVE MD: MLS3780,4,1008715,590842,ACTIVE,Current,160000.0
AUTOCLAVE MODEL CERTOCLAV,8,1003273,,ACTIVE,Current,160000.0
AUTOCLAVE SAKURA MODEL:ASV241 MFG:TIYODA-,9,1006682,,ACTIVE,Current,35530.0
AUTOCLAVE SANYO MLS-3780,5,1004446,530703,,ACTIVE,0.0
AUTOCLAVE STERILIZER BUTANE GAS,10,1001267,,ACTIVE,Current,220000.0
AUTOCLAVE TOMY EX-315-OM02265,11,1002386,39112141,ACTIVE,Current,345502.08
AUTOCLAVE ZEALWAY-ESTIMATE,6,1004328,GI36TW,ACTIVE,Current,9593.0
AUTOCLAVE(PORTABLE) MF:AGELLENKAMI,1,1008716,,ACTIVE,Current,12000.0
AUTOCLAVE-OM00428,12,1002293,K1F006,ACTIVE,Current,9424.96
AUTOCLAVE-PRICE ESTIMATE,13,1002401,764614,ACTIVE,Current,160000.0
AUTOCLAVE-TOMY-OM01686,14,1002412,K107350,ACTIVE,Current,238939.0
AUTOCLIP,15,1000542,,,ACTIVE,0.0
AUTOMATIC DISTILLER MODEL ASK-2DS,16,1001319,,,ACTIVE,0.0
AUTOMATIC VOLT REGULATOR-OM02054,1,1004426,C-80501,ACTIVE,Current,23972.0
AUTOMATIC VOLTAGE GENERATOR 200KVA-OM025,17,1006334,,ACTIVE,Current,3545565.76
AUTOMATIC VOLTAGE REGULATOR MODEL CVR 100,18,1000420,,ACTIVE,Current,75000.0
AUTOMATIC WATER DISTILLER(AQUARIUS) -OM01930,43,1002292,3793,ACTIVE,Current,31977.0
AUTOMINI WASHER-OM01925,44,1001888,0036-1469-5,ACTIVE,Current,17765.0
AUTOVORTEX MIXER MODEL: MIXER SA-2,5,1005005,6698,,ACTIVE,0.0
BABYTHERN,45,1006622,FR80048,ACTIVE,0.00,
BACK UPS MODEL 650,26,1000421,5B1148T05034,ACTIVE,Current,5000.0
BACK UPS MODEL BX650C1-AF,57,1000432,5B1148T089902,ACTIVE,Current,5000.0
BACK UPS MODEL:BK650M1,66,1000407,PB0202322984,ACTIVE,Current,5000.0
BACKUP UPS,77,1006072,B1148T08731,ACTIVE,Acquired,5000.0
BACKUP UPS 650 APC,2,1008232,5B1148708911,ACTIVE,Acquired,5000.0
BACKUP UPS 650 BX650CL-AF,17,1004977,,ACTIVE,Acquired,5000.0
BACKUP UPS APC 650,5,1007904,5B1148T08891,ACTIVE,Acquired,5000.0
BACKUP UPS APC 750,20,1007590,AS094440262,ACTIVE,Acquired,5000.0
BACKUP UPS APC MODEL: BX650CI-AF,11,1008272,5B1150T1047,ACTIVE,Acquired,5000.0
BACKUP UPS APC MODEL: RS 1000,21,1007605,JB0421004523,ACTIVE,Acquired,5000.0
BACKUP UPS BX650CI-AF,18,1006668,,ACTIVE,Acquired,5000.0
BACKUP UPS DELL,19,1004963,F171B,ACTIVE,Acquired,5000.0
BACKUP UPS MERCURY,13,1007956,11126E650N01266,ACTIVE,Acquired,5000.0
BACKUP UPS MODEL 650,20,1005148,,ACTIVE,Acquired,5000.0
BACKUP UPS MODEL SMART UPS 1500,101,1002083,,ACTIVE,Acquired,6000.0
BACKUP UPS MODEL U50,103,1003095,,ACTIVE,Acquired,5000.0
BACKUP UPS MODEL: 650,104,1006419,,ACTIVE,Acquired,6000.0
BACKUP UPS MODEL: 650 PRO,105,1006428,,ACTIVE,Acquired,5000.0
BACKUP UPS MODEL:650,107,1006488,,ACTIVE,Acquired,5000.0
BACKUP UPS PRO 650,110,1006421,,ACTIVE,Acquired,5000.0
BACKUPS UPS APC 2200,23,1007532,00016359,ACTIVE,Acquired,5000.0
BACTERIA GENERATOR,46,1001893,BC-7077,ACTIVE,0.00,
BALANCE 8051-OM01963,6,1001875,,ACTIVE,Current,4264.0
BALANCE ANALYTICAL MODEL:AC100 MFG: METTLE,9,1006761,B00736,ACTIVE,Current,14672.0
BALANCE MACHINE WEIGHING SCALE-OM01762,47,1002603,,ACTIVE,Current,1584.0
BALANCE(TRIPLE BEAM) MODEL:2610 G MFG:OHAUS,10,1006770,2729439,ACTIVE,Current,5329.5
BALANCE-OM01985,7,1000916,0732128464,ACTIVE,Current,1775.84
BATTERY,2,1004289,,ACTIVE,Current,13000.0
BATTERY CHARGER,19,1000333,5P35-20D,,ACTIVE,0.0
BD FACS CALIBER WITH COMPUTER,6,1002108,E1019,OBSOLETE,0.00,
BD FACS COUNT MACHINE,2,1004506,,,ACTIVE,0.0
BD FACS LYSE/WASH ASSISTANT,2,1002142,K0126,ACTIVE,Current,25000.0
BD FASCOUNT,7,1002116,D858000219,ACTIVE,0.00,
BECKMAN COULTER,49,1000165,AK39893,ACTIVE,Current,65000.0
BED,3,1001527,,ACTIVE,Current,10209.76
BELINA MONITOR MODEL: 101551(111505),3,1000163,AA1115050350AC14401060,ACTIVE,0.00,
BELLY DANCER,50,1001344,4702610,ACTIVE,0.00,
BENCH,4,1000710,,ACTIVE,Current,15000.0
BENCH GRINDER,8,1000331,0523,ACTIVE,Current,12978.0
BENCH MOUNTED VICE-OM01404,10,1000067,,ACTIVE,Current,1193.0
BENCH VICE - IRWIN-OM01404,12,1000035,,ACTIVE,Current,1193.0
BENCH WORK,8,1002703,,ACTIVE,Current,15000.0
BENCHTOP UV LM-20(UVP USA),51,1002885,P/NO 95-0449-02,ACTIVE,0.00,
BIG METALLIC CABINET,1,1005299,,ACTIVE,Current,25000.0
BIG TABLE,1,1004811,,ACTIVE,Current,15000.0
BINDER MACHINE,3,1005494,9908436,,ACTIVE,0.0
BINDING MACHINE IBICO 0193,20,1001656,,,ACTIVE,0.0
BINDING MACHINE MODEL FELLOWS CRC57009,8,1003040,,ACTIVE,Current,2500.0
BINDING MACHINE REXEL - LP35,9,1003912,,,ACTIVE,0.0
BIOCHEMISTRY ANALYSER MF:ERBA MD: XL200,5,1008741,250516,ACTIVE,Current,95000.0
BIOCHEMISTRY MACHINE,9,1004503,,,ACTIVE,0.0
BIOMEDICAL FREEZER SANYO-OM01948,16,1001383,10040196,ACTIVE,Current,14212.01
BIOPLEX 200 SYSTEMS LUMINEX M/C(COMPUTER MO,17,1002849,3CQ135BML6,,ACTIVE,0.0
BIOPLEX 200 SYSTEMS LUMINEX M/C(COMPUTER UP,18,1002850,MXL20718MD,,ACTIVE,0.0
BIOPLEX 200 SYSTEMS LUMINEX MACHINE(PLATFORM,19,1002847,LXY12212102,,ACTIVE,0.0
BIOPLEX 200 SYSTEMS LUMINEX MACHINE(PUMP)-O,20,1002846,LXSD12185001,ACTIVE,Current,33119.0
BIOPLEX 200 SYSTEMS LUMINEX MACHINE(READER),21,1002848,LX10012188402,ACTIVE,0.00,
BIOSAFETY CABINET,1,1008673,0408BSB0450,ACTIVE,Current,790020.0
BIOSAFETY CABINET - STERIL GARD-OM01895,28,1002480,110844,ACTIVE,Current,790020.0
BIOSAFETY CABINET - THERMOFOSINA-OM01895,29,1002481,100927-316,ACTIVE,Current,790020.0
BIOSAFETY CABINET - YAMATO ADS-130-OM01895,11,1004339,,ACTIVE,Current,790020.0
BIOSAFETY CABINET BCM-13005(AIRTECH JAPAN),31,1002825,G251770502,ACTIVE,Current,9686600.88
BIOSAFETY CABINET CLASS I(ANTIB 550)-OM01895,12,1004563,3776/07,ACTIVE,Current,790020.0
BIOSAFETY CABINET EN-12469-OM01895,13,1004592,15412,ACTIVE,Current,790020.0
BIOSAFETY CABINET ESCO MICRO PTE-OM01895,33,1002541,2004-7264,ACTIVE,Current,790020.0
BIOSAFETY CABINET HITACHI-OM01895,34,1006065,K05G040,ACTIVE,Current,790020.0
BIOSAFETY CABINET MD:407-OM01895,2,1008727,CDC962603,ACTIVE,Current,790020.0
BIOSAFETY CABINET MF: HEAL FORCE MD: HFSAFE 12,3,1008723,1107BSB0303,ACTIVE,Current,790020.0
BIOSAFETY CABINET MF:PRETTL MODEL: D-7445,4,1008548,,ACTIVE,Current,790020.0
BIOSAFETY CABINET MF:SHANGAI SCIENTIFIC MD:HF,5,1008728,0408BS0450,ACTIVE,Current,790020.0
BIOSAFETY CABINET MODEL 35B6-OM01895,35,1002663,11567,ACTIVE,Current,790020.0
BIOSAFETY CABINET MODEL MD-H-OM01895,36,1002115,12010,ACTIVE,Current,790020.0
BIOSAFETY CABINET MODEL: HFSAFE-1200 CLASS,6,1008263,,ACTIVE,Current,790020.0
BIOSAFETY CABINET MODEL: NU-425-600E,1,1007892,213772060900,ACTIVE,Current,790020.0
BIOSAFETY CABINET NUAIRE,2,1007863,13771060900,ACTIVE,Current,790020.0
BIOSAFETY CABINET RK1-OM01895,37,1006273,18973,ACTIVE,Current,790020.0
BIOSAFETY CABINET SMART CONTROL-OM01895,14,1004421,2004-7263,ACTIVE,Current,790020.0
BIOSAFETY CABINET THERMO FORMA-1287-OM01895,15,1004577,101026-45,ACTIVE,Current,790020.0
BIOSAFETY CABINET THERMOFOSMA-OM01895,16,1004557,101026-44,ACTIVE,Current,790020.0
BIOSAFETY HOOD 3:BCM-13005(AIRTECH JAPAN 048,38,1002807,G251770501,ACTIVE,0.00,
BIOSAFETY HOOD MODEL NU-425-600,39,1002696,17762TY,NOT WORKING,0.00,
BIOSAFETY HOOD MODEL VBME400,40,1002697,5G-12562Y,ACTIVE,0.00,
BLOCK HEATER,13,1000840,R001693,ACTIVE,,0.0
BLOCK OF FLATS,1,1008770,,ACTIVE,Current,43700000.0
BLOOD BANK FRIDGE,1,1002324,20304471,,ACTIVE,0.0
BLOOD SEPARATION BAG,52,1001887,010426,ACTIVE,0.00,
BOARD TABLE,1,1001737,,ACTIVE,Current,12000.0
BOARDROOM TABLE,3,1003822,,ACTIVE,Current,12000.0
BOILER HOUSE,3,1006797,,ACTIVE,Current,1603758.8
BOOK SHELF,1,1005838,,ACTIVE,Current,8000.0
BOOKSHELF,1,1008598,,ACTIVE,Current,8000.0
BOOKSHELF WITH DRAWER,3,1007933,,ACTIVE,Current,8500.0
BOOKSHELF-FF01701,31,1006222,,ACTIVE,Current,7000.0
BP MACHINE,1,1008703,,ACTIVE,Current,92400.0
BPL OFFICE TELEPHONE,15,1005472,,ACTIVE,Acquired,6000.0
BPL TELEPHONE MODEL 5490,16,1005238,,ACTIVE,Acquired,6000.0
BUCKY TABLE MODEL: BF-10,4,1000191,6265281,,ACTIVE,0.0
BULK FILING CABINET-FF02051,1,1001636,,ACTIVE,Current,65486.08
BUNGALOWS,3,1008769,,ACTIVE,Current,19900000.0
BURNER,10,1000755,,ACTIVE,Current,1500.0
C24 INCUBATOR SHAKER,6,1004533,,,ACTIVE,0.0
CABINET,2,1001668,,ACTIVE,Current,15000.0
CALCULATOR FACIT,15,1004316,9260059,ACTIVE,Current,1500.0
CALORIMETER MF: JENWAY,6,1008734,1240,ACTIVE,,
CAMERA POWER SHOT GIX DIGITAL CAMERA(CANO,58,1002887,471053000031,ACTIVE,0.00,
CANON IMAGE CLASS MODEL: D320 PRINTER,1,1007756,UZZ88254,ACTIVE,,
CANON PHOTOCOPYING MACHINE MODEL:IMAGE,1,1005117,,ACTIVE,Current,162767.0
CANON SCANNER DR-3080 C11-OM02469,3,1005919,,ACTIVE,Current,12284.8
CANTEEN COMPLEX/SHOP ANNEX,4,1006792,,ACTIVE,Current,59377980.8
CAPILLARY ELECTROPHORESSIS MODEL:5010 BECKM,11,1006751,7101096,ACTIVE,0.00,
CAR BATTERIES WITH INVERTER/CHARGE,21,1002645,,ACTIVE,Current,13000.0
CASIO CALCULATOR,27,1002016,FR2650TN,ACTIVE,Current,1500.0
CASIO CALCULATOR FR-520-PRICE EST,9,1007498,Q3167369,ACTIVE,Current,1500.0
CASIO CALCULATOR MODEL: DJ 1200,16,1005493,,ACTIVE,Current,1500.0
CASIO CALCULATOR MODEL: FR-2650T,4,1001025,,ACTIVE,Current,1500.0
CATEPILLAR 500KVA MODEL 3412,30,1006324,3FZ02008,ACTIVE,0.00,
CATEPILLAR 750 KVA MODEL 3412-OM00478,31,1006323,FR02827,ACTIVE,Current,130900.0
CBRD BLOCK,5,1006795,,ACTIVE,Current,14135556.0
CELL HARVESTER MODEL 11019 1506,60,1002661,,ACTIVE,Current,235200.0
CELLTAC MODEL: MEK-6400K,1,1008640,11830,ACTIVE,,
CENERAL CULTURE INCUBATOR,61,1002695,,ACTIVE,Current,160000.0
CENTRAL COLD ROOM,6,1006783,,ACTIVE,Current,12371853.6
CENTRE FOR CLINICAL RESEARCH BLOCK,7,1006796,,ACTIVE,Current,74481844.0
CENTRIFUGE (EPPENDORF) 5417C MODEL 5417C,63,1002072,516|334|7500,ACTIVE,Current,180000.0
CENTRIFUGE (EPPENDORF) MODEL 5415C,64,1002555,75781,ACTIVE,Current,180000.0
CENTRIFUGE (MARATHON MICRO A) MODEL: MICR,65,1002071,907N0003,ACTIVE,Current,1844.0
CENTRIFUGE 5415D,12,1006298,542551660,ACTIVE,Current,1844.0
CENTRIFUGE 5415R REFRIGERATED(EPPENDORF),66,1002904,5426ZG932392,ACTIVE,Current,180000.0
CENTRIFUGE 5804 EPPENDORF,7,1004490,,ACTIVE,Current,180000.0
CENTRIFUGE BIOFUGE FRESCO MODEL D-37520,67,1002554,40493725,ACTIVE,Current,1844.0
CENTRIFUGE CENTRA GP8,8,1004590,31211652,ACTIVE,Current,1844.0
CENTRIFUGE DENTY BS400,9,1004509,,ACTIVE,Current,1844.0
CENTRIFUGE EBA20,68,1000143,0022156,ACTIVE,Current,1844.0
CENTRIFUGE EPPENDORF 5810R,10,1004574,5811BH665974,ACTIVE,Current,180000.0
CENTRIFUGE FALCON 6/300,11,1004573,SG98/021159,ACTIVE,Current,1844.0
CENTRIFUGE HETTICH MIKRO22R,69,1002492,0005676-07-00,ACTIVE,Current,390000.0
CENTRIFUGE HETTICH-EBA-21,70,1002489,000491-01-00,ACTIVE,Current,390000.0
CENTRIFUGE HIMAC - HITACHI,13,1004420,68172,ACTIVE,Current,1844.0
CENTRIFUGE HIMAC CF15D,71,1002321,,ACTIVE,Current,1844.0
CENTRIFUGE HITACHI,72,1002294,53289,ACTIVE,Current,8330.0
CENTRIFUGE KUBOTA,14,1006274,TT0127,ACTIVE,Current,1844.0
CENTRIFUGE KUBOTA KS-5000,74,1002290,K11979,ACTIVE,Current,1844.0
CENTRIFUGE KUBOTA KS5000,75,1002325,K11981,ACTIVE,Current,1844.0
CENTRIFUGE MF: THERMOSCIENTIFIC,7,1008579,41253653,ACTIVE,,
CENTRIFUGE MODEL 225,76,1002687,50600255,ACTIVE,Current,1844.0
CENTRIFUGE MODEL 5417R,78,1002073,001T150,ACTIVE,Current,1844.0
CENTRIFUGE MODEL 5430,79,1002643,54272G991454,ACTIVE,Current,1844.0
CENTRIFUGE MODEL BACKMAN MICROFUGE E,80,1002559,261-234832-A,ACTIVE,Current,1844.0
CENTRIFUGE MODEL EPPENDORF 5402,81,1003280,5402B02300,ACTIVE,Current,180000.0
CENTRIFUGE MODEL EPPENDORF 5417C,82,1003283,0023474,ACTIVE,Current,180000.0
CENTRIFUGE MODEL HITACHI 05P-21,84,1002656,33591,ACTIVE,Current,1844.0
CENTRIFUGE MODEL HITACHI 05PR-22,85,1002120,3511078,ACTIVE,Current,1844.0
CENTRIFUGE MODEL HITACHI 105PR-22,86,1002600,83139,ACTIVE,Current,1844.0
CENTRIFUGE MODEL:1810 HERAEUS,15,1006725,00097811,ACTIVE,Current,1844.0
CENTRIFUGE MODEL:HIMAC SRC:HITACHI,16,1006292,K05G053,ACTIVE,Current,1844.0
CENTRIFUGE S:USA MODEL:IEC-CLIMICOAL,14,1005014,4281177,ACTIVE,Current,1844.0
CENTRIFUGE SRC: JAPAN MODEL:SWINGTYPE-OM01,15,1005022,42130,ACTIVE,Current,9593.0
CENTRIFUGE TOMMY MR-150,16,1004510,,ACTIVE,Current,1844.0
CENTRIFUGE TOMY RL-101,89,1002482,32008046,ACTIVE,Current,1844.0
CENTRIFUGE(EPPENDORF) MODEL:TM10,17,1006690,5402 B 03801,ACTIVE,Current,1844.0
CENTRIFUGE-OM02011: ESTIMATE,32,1001879,129140,ACTIVE,Current,132530.0
CHAIR,16,1008683,,ACTIVE,Acquired,9000.0
CHAIR(3 IN 1),304,1005632,,ACTIVE,Current,25000.0
CHAIRS,272,1000026,,ACTIVE,Acquired,9000.0
CHEMICAL BALANCE,33,1001880,14530279,ACTIVE,0.00,0.0
CHEMISTRY ANALYZER - NUCLISENS(EASY Q),90,1002485,374-25645,ACTIVE,0.00,
CHESTER FREEZER SRC:JAPAN MODEL:SANYO,1,1005024,20400040,ACTIVE,Current,234326.0
CISCO ROUTER 2911,1,1008473,,ACTIVE,Current,98439.0
CITIZEN CALCULATOR-PRICE EST,2,1007969,C7-914C,ACTIVE,Current,1500.0
CLAMP,18,1000068,,ACTIVE,Current,2500.0
CLEAN BENCH MF: HITACHI-PRICE EST,5,1008726,G76491901,ACTIVE,Current,8000.0
CLEAN BENCH MF: NK SYSTEM MODEL: MB-1301-PRI,6,1008532,1209391-DL09165B,ACTIVE,Current,8000.0
CLEAN BENCH-FF02089,20,1000895,100495DL09381,ACTIVE,Current,463760.0
CLEAN DRYING OVEN,21,1001853,303865,ACTIVE,0.00,
