Description,No,Barcode,Serial Number,Status,Second,Cost
ALCATEL PHONE,25,1001580,013704742,ACTIVE,Acquired,6000.0
ALCATEL PHONE (FIRST REFLEXES),33,1000762,,ACTIVE,Acquired,6000.0
ALCATEL PHONE 0164,34,1001800,,ACTIVE,Acquired,6000.0
ALCATEL PHONE 4004,35,1004036,,ACTIVE,Acquired,6000.0
ALCATEL PHONE 4020,38,1004044,,ACTIVE,Acquired,6000.0
ALCATEL PHONE 5363,39,1003953,,ACTIVE,Acquired,6000.0
ALCATEL PHONE CN594,40,1003989,,ACTIVE,Acquired,6000.0
ALCATEL PHONE(FIRST REFLEXES),42,1000736,,ACTIVE,Acquired,6000.0
ALCATEL PHONES,43,1002679,,ACTIVE,Acquired,6000.0
ALCATEL TELEPHONE,44,1002700,DR-120LB,ACTIVE,Acquired,6000.0
ALCATEL TELEPHONE 4020,97,1004015,,ACTIVE,Acquired,6000.0
ALCATEL TELEPHONE 410,98,1002188,,ACTIVE,Acquired,6000.0
ALCATEL TELEPHONE 420,99,1001773,,ACTIVE,Acquired,6000.0
ALCATEL TELEPHONE 421,100,1001775,,ACTIVE,Acquired,6000.0
ALCATEL TELEPHONE 594,101,1001817,,ACTIVE,Acquired,6000.0
ALCATEL TELEPHONE 6027,103,1005811,,ACTIVE,Acquired,6000.0
ALCATEL TELEPHONE FIRST RELEASE,104,1000306,N594,ACTIVE,Acquired,6000.0
ALCATEL TELEPHONE MODEL GEX,105,1003194,,OBSOLETE,Acquired,6000.0
ALCATEL TELEPHONE N594,106,1002285,,ACTIVE,Acquired,6000.0
ALUMINIUM LADDER-PRICE ESTIMATE,3,1000427,,ACTIVE,Current,6000.0
ALVATEC(AUTOMIC FILM PROCESSOR) MODEL:AX30,34,1000208,3913615,ACTIVE,0.00,
ANALYTICAL BALANCE,35,1002427,1114512429,NOT WORKING,Current,75532.0
ANENOMETER MODEL: 6141,15,1000415,563604,,ACTIVE,0.0
ANIMAL HOUSE II,2,1006790,,ACTIVE,Current,12968400.0
ANVIL-PRICE ESTIMATE,2,1000037,,ACTIVE,Current,4000.0
APPLE CPU,3,1003764,97QXC1J,ACTIVE,Current,130347.36
APPLE KEYBOARD,2,1002245,,ACTIVE,Current,1000.0
APPLE MONITOR-PRICE ESTIMATE,2,1003763,H01270096247,ACTIVE,Current,60000.0
APS 320-PRICE ESTIMATE,3,1000918,24559114,ACTIVE,Current,5000.0
ARCH WELDING MACHINE-OM00569,4,1000341,F303013081,ACTIVE,Current,10615.0
ARM CHAIR,1,1001913,,ACTIVE,Acquired,9000.0
AUTO CHEMISTRY ANALYSER(INLAB 300),38,1000150,300K001,ACTIVE,Current,16000000.0
AUTO CLAVE MODEL: TF-31-OM01677,1,1001266,,ACTIVE,Current,238939.0
AUTO CLAVE STERILIZER GAS CYLINDER,2,1001269,,ACTIVE,Current,220000.0
AUTO CLAVE-PRICE ESTIMATE,5,1001854,801809,ACTIVE,Current,160000.0
AUTOCLAVE,3,1002411,BTJ6002,ACTIVE,Current,160000.0
AUTOCLAVE (STULTNAUER) MODEL 2540E-OM00550,4,1002689,9603632,ACTIVE,Current,969128.0
AUTOCLAVE 3028 VARIO 3028(DIXONS SURGICAL IN,5,1002826,DSF 8 R,,ACTIVE,0.0
AUTOCLAVE MACHINE MODEL: TR100,6,1006404,05069046,ACTIVE,Current,1300000.0
AUTOCLAVE MC-3OLD(ALP CO JAPAN)-OM02337,7,1002881,801808,ACTIVE,Current,345502.08
AUTOCLAVE MODEL CERTOCLAV,8,1003273,,ACTIVE,Current,160000.0
AUTOCLAVE SAKURA MODEL:ASV241 MFG:TIYODA-,9,1006682,,ACTIVE,Current,35530.0
AUTOCLAVE STERILIZER BUTANE GAS,10,1001267,,ACTIVE,Current,220000.0
AUTOCLAVE TOMY EX-315-OM02265,11,1002386,39112141,ACTIVE,Current,345502.08
AUTOCLAVE-OM00428,12,1002293,K1F006,ACTIVE,Current,9424.96
AUTOCLAVE-PRICE ESTIMATE,13,1002401,764614,ACTIVE,Current,160000.0
AUTOCLAVE-TOMY-OM01686,14,1002412,K107350,ACTIVE,Current,238939.0
AUTOCLIP,15,1000542,,,ACTIVE,0.0
AUTOMATIC DISTILLER MODEL ASK-2DS,16,1001319,,,ACTIVE,0.0
AUTOMATIC VOLTAGE GENERATOR 200KVA-OM025,17,1006334,,ACTIVE,Current,3545565.76
AUTOMATIC VOLTAGE REGULATOR MODEL CVR 100,18,1000420,,ACTIVE,Current,75000.0
AUTOMATIC WATER DISTILLER(AQUARIUS) -OM01930,43,1002292,3793,ACTIVE,Current,31977.0
AUTOMINI WASHER-OM01925,44,1001888,0036-1469-5,ACTIVE,Current,17765.0
BABYTHERN,45,1006622,FR80048,ACTIVE,0.00,
BACK UPS MODEL 650,26,1000421,5B1148T05034,ACTIVE,Current,5000.0
BACK UPS MODEL BX650C1-AF,57,1000432,5B1148T089902,ACTIVE,Current,5000.0
BACK UPS MODEL:BK650M1,66,1000407,PB0202322984,ACTIVE,Current,5000.0
BACKUP UPS,77,1006072,B1148T08731,ACTIVE,Acquired,5000.0
BACKUP UPS MODEL SMART UPS 1500,101,1002083,,ACTIVE,Acquired,6000.0
BACKUP UPS MODEL U50,103,1003095,,ACTIVE,Acquired,5000.0
BACKUP UPS MODEL: 650,104,1006419,,ACTIVE,Acquired,6000.0
BACKUP UPS MODEL: 650 PRO,105,1006428,,ACTIVE,Acquired,5000.0
BACKUP UPS MODEL:650,107,1006488,,ACTIVE,Acquired,5000.0
BACKUP UPS PRO 650,110,1006421,,ACTIVE,Acquired,5000.0
BACTERIA GENERATOR,46,1001893,BC-7077,ACTIVE,0.00,
BALANCE 8051-OM01963,6,1001875,,ACTIVE,Current,4264.0
BALANCE ANALYTICAL MODEL:AC100 MFG: METTLE,9,1006761,B00736,ACTIVE,Current,14672.0
BALANCE MACHINE WEIGHING SCALE-OM01762,47,1002603,,ACTIVE,Current,1584.0
BALANCE(TRIPLE BEAM) MODEL:2610 G MFG:OHAUS,10,1006770,2729439,ACTIVE,Current,5329.5
BALANCE-OM01985,7,1000916,0732128464,ACTIVE,Current,1775.84
BATTERY CHARGER,19,1000333,5P35-20D,,ACTIVE,0.0
BD FACS CALIBER WITH COMPUTER,6,1002108,E1019,OBSOLETE,0.00,
BD FACS LYSE/WASH ASSISTANT,2,1002142,K0126,ACTIVE,Current,25000.0
BD FASCOUNT,7,1002116,D858000219,ACTIVE,0.00,
BECKMAN COULTER,49,1000165,AK39893,ACTIVE,Current,65000.0
BED,3,1001527,,ACTIVE,Current,10209.76
BELINA MONITOR MODEL: 101551(111505),3,1000163,AA1115050350AC14401060,ACTIVE,0.00,
BELLY DANCER,50,1001344,4702610,ACTIVE,0.00,
BENCH,4,1000710,,ACTIVE,Current,15000.0
BENCH GRINDER,8,1000331,0523,ACTIVE,Current,12978.0
BENCH MOUNTED VICE-OM01404,10,1000067,,ACTIVE,Current,1193.0
BENCH VICE - IRWIN-OM01404,12,1000035,,ACTIVE,Current,1193.0
BENCH WORK,8,1002703,,ACTIVE,Current,15000.0
BENCHTOP UV LM-20(UVP USA),51,1002885,P/NO 95-0449-02,ACTIVE,0.00,
BINDING MACHINE IBICO 0193,20,1001656,,,ACTIVE,0.0
BINDING MACHINE MODEL FELLOWS CRC57009,8,1003040,,ACTIVE,Current,2500.0
BINDING MACHINE REXEL - LP35,9,1003912,,,ACTIVE,0.0
BIOMEDICAL FREEZER SANYO-OM01948,16,1001383,10040196,ACTIVE,Current,14212.01
BIOPLEX 200 SYSTEMS LUMINEX M/C(COMPUTER MO,17,1002849,3CQ135BML6,,ACTIVE,0.0
BIOPLEX 200 SYSTEMS LUMINEX M/C(COMPUTER UP,18,1002850,MXL20718MD,,ACTIVE,0.0
BIOPLEX 200 SYSTEMS LUMINEX MACHINE(PLATFORM,19,1002847,LXY12212102,,ACTIVE,0.0
BIOPLEX 200 SYSTEMS LUMINEX MACHINE(PUMP)-O,20,1002846,LXSD12185001,ACTIVE,Current,33119.0
BIOPLEX 200 SYSTEMS LUMINEX MACHINE(READER),21,1002848,LX10012188402,ACTIVE,0.00,
BIOSAFETY CABINET,22,1002530,110849,ACTIVE,Current,835407.15
BIOSAFETY CABINET - STERIL GARD-OM01895,28,1002480,110844,ACTIVE,Current,790020.0
BIOSAFETY CABINET - THERMOFOSINA-OM01895,29,1002481,100927-316,ACTIVE,Current,790020.0
BIOSAFETY CABINET BCM-13005(AIRTECH JAPAN),31,1002825,G251770502,ACTIVE,Current,9686600.88
BIOSAFETY CABINET ESCO MICRO PTE-OM01895,33,1002541,2004-7264,ACTIVE,Current,790020.0
BIOSAFETY CABINET HITACHI-OM01895,34,1006065,K05G040,ACTIVE,Current,790020.0
BIOSAFETY CABINET MODEL 35B6-OM01895,35,1002663,11567,ACTIVE,Current,790020.0
BIOSAFETY CABINET MODEL MD-H-OM01895,36,1002115,12010,ACTIVE,Current,790020.0
BIOSAFETY CABINET RK1-OM01895,37,1006273,18973,ACTIVE,Current,790020.0
BIOSAFETY HOOD 3:BCM-13005(AIRTECH JAPAN 048,38,1002807,G251770501,ACTIVE,0.00,
BIOSAFETY HOOD MODEL NU-425-600,39,1002696,17762TY,NOT WORKING,0.00,
BIOSAFETY HOOD MODEL VBME400,40,1002697,5G-12562Y,ACTIVE,0.00,
BLOCK HEATER,13,1000840,R001693,ACTIVE,,0.0
BLOOD BANK FRIDGE,1,1002324,20304471,,ACTIVE,0.0
BLOOD SEPARATION BAG,52,1001887,010426,ACTIVE,0.00,
BOARD TABLE,1,1001737,,ACTIVE,Current,12000.0
BOARDROOM TABLE,3,1003822,,ACTIVE,Current,12000.0
BOILER HOUSE,3,1006797,,ACTIVE,Current,1603758.8
BOOK SHELF,1,1005838,,ACTIVE,Current,8000.0
BOOKSHELF,20,1003795,,ACTIVE,Current,8000.0
BOOKSHELF-FF01701,31,1006222,,ACTIVE,Current,7000.0
BP MACHINE,53,1000549,,ACTIVE,Current,92400.0
BUCKY TABLE MODEL: BF-10,4,1000191,6265281,,ACTIVE,0.0
BULK FILING CABINET-FF02051,1,1001636,,ACTIVE,Current,65486.08
BURNER,10,1000755,,ACTIVE,Current,1500.0
CABINET,2,1001668,,ACTIVE,Current,15000.0
CAMERA POWER SHOT GIX DIGITAL CAMERA(CANO,58,1002887,471053000031,ACTIVE,0.00,
CANON SCANNER DR-3080 C11-OM02469,3,1005919,,ACTIVE,Current,12284.8
CANTEEN COMPLEX/SHOP ANNEX,4,1006792,,ACTIVE,Current,59377980.8
CAPILLARY ELECTROPHORESSIS MODEL:5010 BECKM,11,1006751,7101096,ACTIVE,0.00,
CAR BATTERIES WITH INVERTER/CHARGE,21,1002645,,ACTIVE,Current,13000.0
CASIO CALCULATOR,27,1002016,FR2650TN,ACTIVE,Current,1500.0
CASIO CALCULATOR MODEL: FR-2650T,4,1001025,,ACTIVE,Current,1500.0
CATEPILLAR 500KVA MODEL 3412,30,1006324,3FZ02008,ACTIVE,0.00,
CATEPILLAR 750 KVA MODEL 3412-OM00478,31,1006323,FR02827,ACTIVE,Current,130900.0
CBRD BLOCK,5,1006795,,ACTIVE,Current,14135556.0
CELL HARVESTER MODEL 11019 1506,60,1002661,,ACTIVE,Current,235200.0
CENERAL CULTURE INCUBATOR,61,1002695,,ACTIVE,Current,160000.0
CENTRAL COLD ROOM,6,1006783,,ACTIVE,Current,12371853.6
CENTRE FOR CLINICAL RESEARCH BLOCK,7,1006796,,ACTIVE,Current,74481844.0
CENTRIFUGE (EPPENDORF) 5417C MODEL 5417C,63,1002072,516|334|7500,ACTIVE,Current,180000.0
CENTRIFUGE (EPPENDORF) MODEL 5415C,64,1002555,75781,ACTIVE,Current,180000.0
CENTRIFUGE (MARATHON MICRO A) MODEL: MICR,65,1002071,907N0003,ACTIVE,Current,1844.0
CENTRIFUGE 5415D,12,1006298,542551660,ACTIVE,Current,1844.0
CENTRIFUGE 5415R REFRIGERATED(EPPENDORF),66,1002904,5426ZG932392,ACTIVE,Current,180000.0
CENTRIFUGE BIOFUGE FRESCO MODEL D-37520,67,1002554,40493725,ACTIVE,Current,1844.0
CENTRIFUGE EBA20,68,1000143,0022156,ACTIVE,Current,1844.0
CENTRIFUGE HETTICH MIKRO22R,69,1002492,0005676-07-00,ACTIVE,Current,390000.0
CENTRIFUGE HETTICH-EBA-21,70,1002489,000491-01-00,ACTIVE,Current,390000.0
CENTRIFUGE HIMAC CF15D,71,1002321,,ACTIVE,Current,1844.0
CENTRIFUGE HITACHI,72,1002294,53289,ACTIVE,Current,8330.0
CENTRIFUGE KUBOTA,14,1006274,TT0127,ACTIVE,Current,1844.0
CENTRIFUGE KUBOTA KS-5000,74,1002290,K11979,ACTIVE,Current,1844.0
CENTRIFUGE KUBOTA KS5000,75,1002325,K11981,ACTIVE,Current,1844.0
CENTRIFUGE MODEL 225,76,1002687,50600255,ACTIVE,Current,1844.0
CENTRIFUGE MODEL 5417R,78,1002073,001T150,ACTIVE,Current,1844.0
CENTRIFUGE MODEL 5430,79,1002643,54272G991454,ACTIVE,Current,1844.0
CENTRIFUGE MODEL BACKMAN MICROFUGE E,80,1002559,261-234832-A,ACTIVE,Current,1844.0
CENTRIFUGE MODEL EPPENDORF 5402,81,1003280,5402B02300,ACTIVE,Current,180000.0
CENTRIFUGE MODEL EPPENDORF 5417C,82,1003283,0023474,ACTIVE,Current,180000.0
CENTRIFUGE MODEL HITACHI 05P-21,84,1002656,33591,ACTIVE,Current,1844.0
CENTRIFUGE MODEL HITACHI 05PR-22,85,1002120,3511078,ACTIVE,Current,1844.0
CENTRIFUGE MODEL HITACHI 105PR-22,86,1002600,83139,ACTIVE,Current,1844.0
CENTRIFUGE MODEL:1810 HERAEUS,15,1006725,00097811,ACTIVE,Current,1844.0
CENTRIFUGE MODEL:HIMAC SRC:HITACHI,16,1006292,K05G053,ACTIVE,Current,1844.0
CENTRIFUGE TOMY RL-101,89,1002482,32008046,ACTIVE,Current,1844.0
CENTRIFUGE(EPPENDORF) MODEL:TM10,17,1006690,5402 B 03801,ACTIVE,Current,1844.0
CENTRIFUGE-OM02011: ESTIMATE,32,1001879,129140,ACTIVE,Current,132530.0
CHAIR,46,1006491,,ACTIVE,Acquired,9000.0
CHAIRS,272,1000026,,ACTIVE,Acquired,9000.0
CHEMICAL BALANCE,33,1001880,14530279,ACTIVE,0.00,0.0
CHEMISTRY ANALYZER - NUCLISENS(EASY Q),90,1002485,374-25645,ACTIVE,0.00,
CLAMP,18,1000068,,ACTIVE,Current,2500.0
CLEAN BENCH-FF02089,20,1000895,100495DL09381,ACTIVE,Current,463760.0
CLEAN DRYING OVEN,21,1001853,303865,ACTIVE,0.00,
CLIMBING BOARD-PRICE ESTIMATE,16,1000356,,ACTIVE,Current,4000.0
CLINI SHAKER SAKURA MODEL:3306310B TIYODA,18,1006692,4408197,ACTIVE,0.00,
CLINIBATH MODEL:980911 TIYODA,91,1006693,4410298,ACTIVE,0.00,
CLINICAL RESEARCH/PATHOLOGY BLOCK,8,1006793,,ACTIVE,Current,24899328.0
CLIP CHART STAND,18,1001488,,ACTIVE,Current,2000.0
CLOSED WOODEN CABINENT,21,1001932,,ACTIVE,Current,15000.0
CO2 GAS CYLINDER-PRICE ESTIMATE,13,1006704,,ACTIVE,Current,20000.0
CO2 INCUBATOR SANYO-OM02393,19,1006699,30404671,ACTIVE,Current,24147.0
CO2 INCUBATOR-OM02393,34,1001864,10020050,ACTIVE,Current,24147.0
COAT HANGER-PRICE ESTIMATE,23,1006077,,ACTIVE,Current,2000.0
COBAS AMPLIPREP - ROCHE,96,1002483,395457,ACTIVE,0.00,
COBAS TAQMAN - ROCHE,97,1002484,,,ACTIVE,0.0
COFFEE TABLE,5,1001742,,ACTIVE,Current,12000.0
COMBCOLDRAC CABINET MODEL:LKB,54,1006748,375,,ACTIVE,0.0
COMPACT INCUBATOR LEEC,98,1002389,K10J241,,ACTIVE,0.0
COMPAQ COMPUTER,11,1003648,6041DYSZE980,ACTIVE,Acquired,90000.0
COMPAQ CPU,12,1003174,NL24815542,OBSOLETE,Acquired,60000.0
COMPAQ KEYBOARD,4,1004123,4ZL4D4J,ACTIVE,Current,100.0
COMPAQ KEYBOARD MODEL:SDM4700P,7,1000162,,ACTIVE,Current,100.0
COMPAQ MONITOR,4,1005913,CNT01841L1,ACTIVE,Current,9000.0
COMPAQ MONITOR MODEL 5500,8,1001925,247BK43LG071,ACTIVE,Current,9000.0
COMPAQ UPS,111,1004111,FT365,ACTIVE,Current,5000.0
COMPAQ UPS BT650ML,112,1004124,,ACTIVE,Current,5000.0
COMPOUND MICROSCOPE ECLIPSE 50 YS100(NIKO,1,1002939,531386,ACTIVE,Current,15000.0
COMPOUND MICROSCOPE ECLIPSE 50(NIKON CAB,10,1002931,812226,ACTIVE,Current,15000.0
COMPOUND MICROSCOPE ECLIPSE 50(NIKON),11,1002932,812253,ACTIVE,Current,15000.0
COMPOUND MICROSCOPE NIKON KY-F55E(VICTOR,26,1002816,754633,ACTIVE,Current,5000.0
COMPOUND MICROSCOPE(NIKON),27,1002812,541479,ACTIVE,Current,5000.0
COMPRESSOR-PRICE ESTIMATE,22,1000332,003,ACTIVE,Current,10000.0
COMPUTER,21,1000007,34611588979,ACTIVE,Current,20000.0
COMPUTER BENCH,24,1002797,,ACTIVE,Current,15000.0
COMPUTER DESK,1,1003065,,ACTIVE,Current,15000.0
COMPUTER DRAWER,29,1003139,,ACTIVE,Current,5000.0
COMPUTER STAND,41,1000720,,ACTIVE,Current,5000.0
COMPUTER TABLE,7,1001664,,ACTIVE,Current,12000.0
COMPUTER WORKING STATION,85,1006506,,ACTIVE,Current,12000.0
CONFERENCE CHAIR,277,1001446,,ACTIVE,Current,25000.0
CONFERENCE TABLE,93,1005834,,ACTIVE,Current,35000.0
CONFERENCE TABLE(UNIT),96,1002165,,ACTIVE,Current,1500.0
COOKER ARMCO-OM00134,15,1001684,29687736,ACTIVE,Scrap value,4000.0
COOKER DOUBLE BURNER,16,1000760,,ACTIVE,Current,9500.0
COOKER KENWOOD-OM00134,17,1003527,,ACTIVE,Current,4000.0
COOKER OZAKI,18,1000759,,NOT WORKING,Current,5000.0
COOL INCUBATOR ICP 400*SCHUTZART MEMMER G,99,1002893,K4050011,ACTIVE,Current,248371.0
CPU,28,1000302,20433065368,ACTIVE,Acquired,60000.0
CPU - 5GT1R2J ALREADY EXISTS IN DATABASE,43,1003666,,ACTIVE,Acquired,60000.0
CRATES,42,1001389,,ACTIVE,Current,2000.0
CRYOSA COLD TOME MODEL CM-41,100,1001294,,,ACTIVE,0.0
CULTURE INCUBATOR(CELL) MODEL K01C185,101,1002665,,,ACTIVE,0.0
CULTURE INCUBATOR(SAKURA) MODEL IF-3B,102,1002599,4308704,,ACTIVE,0.0
CUPBOARD,44,1001572,,ACTIVE,Current,4280.0
CUTTING MACHINE NOGUCHI PRESS,23,1000337,5Y300Y6,ACTIVE,0.00,
DEEP FREEZER - CHASE-OM01818,2,1000774,,ACTIVE,Current,27775.0
DEEP FREEZER MDF-U3286F(SANYO BIOMEDICAL)-O,3,1002869,50912747,ACTIVE,Current,28424.0
DEEP FREEZER MODEL BT50169,4,1003362,K01D142,ACTIVE,Current,180000.0
DEEP FREEZER SANYO(-80C)-OM01752,5,1000883,50404873,ACTIVE,Current,42834.0
DEFIBRILLATOR MODEL: TEC 3500,103,1000128,,,ACTIVE,0.0
DELL BACKUP UPS,114,1005904,,ACTIVE,Acquired,5000.0
DELL BACKUP UPS 650 APC,116,1006214,,ACTIVE,Acquired,5000.0
DELL CPU,44,1003699,9Q9R891,ACTIVE,Acquired,60000.0
DELL CPU MODEL 19852605901,244,1000430,94BQ8R1,ACTIVE,Acquired,60000.0
DELL CPU MODEL D12M,245,1001007,63N98R1,ACTIVE,Acquired,60000.0
DELL CPU MODEL DHS,246,1000493,JHFJR0J,ACTIVE,Acquired,60000.0
DELL CPU MODEL OPTIPLEX,247,1003045,BY9R8R1,ACTIVE,Acquired,60000.0
DELL CPU MODEL OPTIPLEX 380,248,1003093,TL5535J,ACTIVE,Acquired,90000.0
DELL CPU MODEL OPTIPLEX 745,249,1003120,8G82R2J,ACTIVE,Acquired,60000.0
DELL CPU MODEL OPTIPLEX 780,251,1001014,,ACTIVE,Acquired,60000.0
DELL CPU MODEL OPTIPLEX 890,252,1003056,BP5X8R1,ACTIVE,Acquired,60000.0
DELL CPU MODEL OPTIPLEX GX520,253,1003204,,OBSOLETE,Acquired,60000.0
DELL CPU MODEL OPTIPLEX GX620,254,1005773,X11-45391,ACTIVE,Acquired,60000.0
DELL CPU MODEL: 36046203661,255,1000434,GK4Z8R1,ACTIVE,Acquired,60000.0
DELL CPU MODEL: OPTIPLEX GX520,256,1005780,G06T32J,ACTIVE,Acquired,60000.0
DELL CPU MODEL: OPTIPLEX GX620,257,1005777,H4CK62J,ACTIVE,Acquired,60000.0
DELL CPU OPTIPLEX 390,258,1002149,5C82R2J,ACTIVE,Acquired,60000.0
DELL CPU SERVICE CODE:42130794808,259,1000497,JCRL5BS,ACTIVE,Acquired,60000.0
DELL CPU X11-45371,260,1005922,,ACTIVE,Acquired,60000.0
DELL CPU(OPTIPLEX 330),261,1002667,402V815,ACTIVE,Acquired,60000.0
DELL CPU(OPTIPLEX 390),262,1002670,B94Z8R1,ACTIVE,Scrap value,6000.0
DELL CPU(OPTIPLEX GX520),264,1002081,0925XV15,ACTIVE,Acquired,60000.0
DELL CPUMODEL DHS,265,1000494,JQVT21J,ACTIVE,Acquired,60000.0
DELL DESKTOP,26,1003610,5GT1R2J,ACTIVE,Acquired,90000.0
DELL KEYBOARD,8,1000174,KB4021,ACTIVE,Acquired,5000.0
DELL KEYBOARD E145614,200,1005809,,ACTIVE,Acquired,5000.0
DELL KEYBOARD MODEL KB212-B,201,1000433,22T-018Q-A01,ACTIVE,Acquired,5000.0
DELL KEYBOARD MODEL SK-8115,202,1000492,E145614,ACTIVE,Acquired,5000.0
DELL KEYBOARD MODEL: KB212-B,203,1000562,22T-0350-A1,ACTIVE,Acquired,5000.0
DELL KEYBOARD MODEL: SK-8185,204,1000498,OY526K,ACTIVE,Acquired,5000.0
DELL KEYBOARD MODEL:KB212-B,205,1000215,,ACTIVE,Acquired,5000.0
DELL LAPTOP INSPIRON,266,1003673,2381578525,ACTIVE,Acquired,60000.0
DELL MONITOR,12,1002002,CN-0P409-74261-986-3FPU,ACTIVE,Current,9000.0
DELL MONITOR (OPTIPLEX 390),186,1002077,CN-02N00N64180-23L-1XCM,ACTIVE,Current,9000.0
DELL MONITOR 14,187,1002363,,ACTIVE,Current,9000.0
"DELL MONITOR 14""",188,1002240,CN0T53NN,ACTIVE,Current,9000.0
